s,t,c,o,h,l,v
,2022-11-08 02:12:00,1.0000945,1.00009428,1.00009999,1.00008499,0
,2022-11-08 02:13:00,1.0000972,1.0000945,1.0001,1.00008325,0
,2022-11-08 02:14:00,1.00009162,1.000089,1.00009999,1.000089,0
,2022-11-08 02:15:00,1.00008499,1.00009162,1.00009999,1.00007714,0
,2022-11-08 02:16:00,1.00009999,1.00008499,1.0001,1.00008499,0
,2022-11-08 02:17:00,1.0001,1.00009999,1.00011333,1.00009249,0
,2022-11-08 02:18:00,1.00011513,1.0001,1.00014,1.0001,0
,2022-11-08 02:19:00,1.0001,1.00011513,1.00015,1.0001,0
,2022-11-08 02:20:00,1.00011279,1.0001,1.00014,1.0001,0
,2022-11-08 02:21:00,1.00012674,1.00011279,1.00015,1.00009883,0
,2022-11-08 02:22:00,1.00011302,1.00012674,1.00014,1.00011142,0
,2022-11-08 02:23:00,1.00012674,1.00011302,1.00015004,1.00011302,0
,2022-11-08 02:24:00,1.00011142,1.00013174,1.00015004,1.0001,0
,2022-11-08 02:25:00,1.00013,1.00011142,1.00015,1.00011142,0
,2022-11-08 02:26:00,1.000127,1.00013,1.00014139,1.0001,0
,2022-11-08 02:27:00,1.00009999,1.000127,1.00014,1.00009226,0
,2022-11-08 02:28:00,1.00009999,1.00009999,1.0001,1.00009953,0
,2022-11-08 02:29:00,1.0001,1.00009999,1.0001005,1.00009999,0
,2022-11-08 02:30:00,1.00009999,1.0001,1.00012736,1.00009999,0
,2022-11-08 02:31:00,1.00009999,1.00009999,1.0001,1.00009999,0
,2022-11-08 02:32:00,1.0001,1.00009999,1.0001,1.00009999,0
,2022-11-08 02:33:00,1.0001,1.0001,1.0001055,1.00009999,0
,2022-11-08 02:34:00,1.0001,1.0001,1.0001145,1.0001,0
,2022-11-08 02:35:00,1.00009999,1.0001,1.00013333,1.00009999,0
,2022-11-08 02:36:00,1.0001,1.00009999,1.0001165,1.00009999,0
,2022-11-08 02:37:00,1.00009999,1.0001,1.0001165,1.00009749,0
,2022-11-08 02:38:00,1.0001,1.00009999,1.0001,1.00009999,0
,2022-11-08 02:39:00,1.00009249,1.0001,1.00013,1.00007124,0
,2022-11-08 02:40:00,1.00009749,1.00009249,1.00009999,1.00009214,0
,2022-11-08 02:41:00,1.00009749,1.00009749,1.00009999,1.00009749,0
,2022-11-08 02:42:00,1.00009749,1.00009749,1.00009999,1.00009749,0
,2022-11-08 02:43:00,1.000115,1.00009749,1.00011575,1.00009749,0
,2022-11-08 02:44:00,1.00009749,1.000115,1.00011575,1.00009749,0
,2022-11-08 02:45:00,1.00009849,1.00009749,1.00010475,1.00009749,0
,2022-11-08 02:46:00,1.00009999,1.00009999,1.0001055,1.00009849,0
,2022-11-08 02:47:00,1.0001,1.00009999,1.0001,1.00009675,0
,2022-11-08 02:48:00,1.0001,1.0001,1.00010232,1.00009999,0
,2022-11-08 02:49:00,1.0001,1.0001,1.00013313,1.0001,0
,2022-11-08 02:50:00,1.00014,1.0001,1.00014,1.00009999,0
,2022-11-08 02:51:00,1.00015,1.00015,1.00015008,1.00014,0
,2022-11-08 02:52:00,1.00015,1.00015,1.00015001,1.00013,0
,2022-11-08 02:53:00,1.00015,1.00015,1.00015008,1.00013,0
,2022-11-08 02:54:00,1.00013872,1.00015,1.00015004,1.00013232,0
,2022-11-08 02:55:00,1.00015,1.00013872,1.00015,1.00012662,0
,2022-11-08 02:56:00,1.00015,1.00015,1.00015,1.00014,0
,2022-11-08 02:57:00,1.00015,1.00015,1.00015,1.00011285,0
,2022-11-08 02:58:00,1.00014,1.00015,1.00015,1.00014,0
,2022-11-08 02:59:00,1.00015001,1.00014,1.00015001,1.00013,0
,2022-11-08 03:00:00,1.00015,1.00015001,1.00015008,1.00015,0
,2022-11-08 03:01:00,1.00015,1.00015,1.00015008,1.00014,0
,2022-11-08 03:02:00,1.00015,1.00015,1.00015001,1.0001272,0
,2022-11-08 03:03:00,1.00009999,1.00014,1.00014,1.0000785,0
,2022-11-08 03:04:00,1.00009999,1.00009999,1.00009999,1.00009674,0
,2022-11-08 03:05:00,1.00009999,1.00009999,1.0001,1.00009999,0
,2022-11-08 03:06:00,1.0001,1.00009999,1.0001,1.00009999,0
,2022-11-08 03:07:00,1.00009999,1.00009999,1.0001045,1.0000625,0
,2022-11-08 03:08:00,1.00015004,1.00009999,1.00015008,1.00009999,0
,2022-11-08 03:09:00,1.00015008,1.00015004,1.00015008,1.00015004,0
,2022-11-08 03:10:00,1.00015041,1.00015008,1.00015612,1.00015004,0
,2022-11-08 03:11:00,1.00017251,1.00015041,1.00018125,1.00014622,0
,2022-11-08 03:12:00,1.00016537,1.00017839,1.0002,1.00015037,0
,2022-11-08 03:13:00,1.00015037,1.00016537,1.00018575,1.00015037,0
,2022-11-08 03:14:00,1.00015037,1.00015037,1.000175,1.00015037,0
,2022-11-08 03:15:00,1.00015001,1.00015037,1.000175,1.00015001,0
,2022-11-08 03:16:00,1.00015008,1.00015001,1.00017537,1.00015001,0
